id,kDFprybytqA
published,"2025-01-01 07:29:20"
published_unix,1735716560
title,"NouvelAn2025 | Discours à la nation du Président de la Transition Général d'Armée Assimi GOÏTA."
description,"#ORTM - #INFO : #NouvelAn2025 | Discours à la nation du Président de la Transition Général d'Armée Assimi GOÏTA. Mise en ligne : Cheick Abdoul Aziz Coulibaly Coordination : Tamsir DIABATE"
channelId,UCQhdHZkL2eOBu66gNMCawag
channelTitle,ORTM
duration,PT14M40S
dimension,2d
definition,hd
caption,false
allowedIn,
blockedIn,
licensedContent,
viewCount,102200
likeCount,4348
dislikeCount,
favoriteCount,0
commentCount,308
uploadStatus,processed
privacyStatus,public
license,youtube
embeddable,1
publicStatsViewable,1
