id,qfMahePWCCM
published,"2023-09-30 09:00:38"
published_unix,1696064438
title,"Sahel : la jeunesse se révolte contre la « Françafrique »"
description,"L’héritage de la politique coloniale française en Afrique -la fameuse « Françafrique »- cristallise la colère d’une jeunesse bien décidée à reprendre son destin en main. Cette deuxième vague de décolonisation dans les régions du Sahel et de l’Afrique de l’Ouest est portée par des coups d’État du Burkina Faso au Niger dans un contexte de tensions extrêmes entre menace des groupes djihadistes, prise d’influence de la Russie et instabilité économique. #afrique #sahel #mali #burkinafaso #françafrique Nouvo, faites tourner l'info! https://www.rts.ch/info/ http://www.nouvo.ch/ Nouvo est un produit de la Radio Télévision Suisse : http://rts.ch"
channelId,UClTOqr6qe-BmwwXDrcmuEhg
channelTitle,RTSinfo
duration,PT15M44S
dimension,2d
definition,hd
caption,false
allowedIn,
blockedIn,
licensedContent,
viewCount,28708
likeCount,574
dislikeCount,
favoriteCount,0
commentCount,94
uploadStatus,processed
privacyStatus,public
license,youtube
embeddable,1
publicStatsViewable,1
